==============================================================================================================
    Date     Time  Temp SpCond   Cond  Resist    Sal DOsat     DO DOchrg   Depth    pH      pH     Orp Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm  Ohm*cm    ppt     %   mg/L         meters            mV      mV   volts
--------------------------------------------------------------------------------------------------------------
11/01/19 22:50:20 11.56  0.194    145 6917.09   0.09  50.0   5.44   18.2   0.709  8.17   -68.9   282.5     5.9
11/01/19 23:05:20 11.50  0.195    145 6904.52   0.09  50.0   5.45   18.2   0.708  8.17   -68.8   282.7     5.9
11/01/19 23:20:20 11.49  0.195    145 6913.99   0.09  49.8   5.43   18.2   0.707  8.17   -68.8   283.0     5.9
11/01/19 23:35:20 11.45  0.195    144 6932.46   0.09  49.7   5.42   18.2   0.706  8.17   -68.8   283.0     5.9
11/01/19 23:50:20 11.47  0.194    144 6964.69   0.09  49.7   5.42   18.2   0.705  8.18   -69.3   282.9     5.9
11/02/19 00:05:20 11.47  0.194    144 6956.19   0.09  49.5   5.40   18.2   0.706  8.17   -69.1   283.0     5.9
11/02/19 00:20:20 11.44  0.194    144 6951.58   0.09  49.3   5.38   18.2   0.707  8.17   -69.1   282.8     5.9
11/02/19 00:35:20 11.38  0.194    144 6948.63   0.09  49.2   5.38   17.0   0.707  8.18   -69.2   282.7     5.9
11/02/19 00:50:20 11.39  0.195    144 6938.70   0.09  49.1   5.36   17.0   0.707  8.17   -69.0   283.1     5.9
11/02/19 01:05:20 11.37  0.195    144 6938.70   0.09  49.0   5.36   18.2   0.707  8.17   -69.0   283.1     5.9
11/02/19 01:20:20 11.35  0.195    144 6939.98   0.09  48.8   5.34   18.2   0.706  8.17   -68.9   283.2     5.9
11/02/19 01:35:20 11.36  0.195    144 6943.48   0.09  48.9   5.34   17.0   0.704  8.17   -69.1   283.1     5.9
11/02/19 01:50:20 11.33  0.195    144 6941.27   0.09  48.8   5.33   18.2   0.705  8.17   -69.0   283.1     5.9
11/02/19 02:05:20 11.33  0.195    144 6939.06   0.09  48.8   5.33   18.2   0.704  8.17   -68.9   283.3     5.9
11/02/19 02:20:20 11.29  0.195    144 6937.04   0.09  48.7   5.33   18.2   0.703  8.17   -68.9   283.3     5.9
11/02/19 02:35:20 11.28  0.195    144 6931.18   0.09  48.6   5.32   18.2   0.703  8.17   -68.9   283.6     5.9
11/02/19 02:50:20 11.26  0.196    144 6930.81   0.09  48.6   5.33   18.2   0.701  8.17   -68.9   283.6     5.9
11/02/19 03:05:20 11.22  0.196    144 6924.04   0.09  48.5   5.32   17.0   0.700  8.17   -68.8   283.4     5.9
11/02/19 03:20:20 11.18  0.196    144 6922.94   0.09  48.5   5.32   17.0   0.696  8.17   -68.7   283.6     5.9
11/02/19 03:35:20 11.14  0.197    145 6909.98   0.09  48.5   5.32   18.2   0.692  8.17   -68.7   283.7     5.9
11/02/19 03:50:20 11.13  0.197    145 6900.71   0.09  48.3   5.31   18.2   0.695  8.17   -68.7   283.9     5.9
11/02/19 04:05:20 11.08  0.198    146 6866.36   0.09  48.3   5.31   18.2   0.693  8.16   -68.4   284.2     5.9
11/02/19 04:20:20 11.05  0.200    147 6822.05   0.10  48.2   5.31   18.2   0.692  8.16   -68.1   284.5     5.9
11/02/19 04:35:20 11.04  0.200    147 6802.75   0.10  48.3   5.32   18.2   0.693  8.15   -67.9   284.7     5.9
11/02/19 04:50:20 10.98  0.201    147 6794.99   0.10  48.3   5.32   18.2   0.695  8.15   -67.7   284.9     5.9
11/02/19 05:05:20 10.92  0.202    147 6781.11   0.10  48.2   5.33   17.0   0.695  8.15   -67.8   284.8     5.9
11/02/19 05:20:20 11.00  0.199    146 6845.92   0.09  48.1   5.30   17.0   0.694  8.16   -68.1   284.9     5.9
11/02/19 05:35:20 10.96  0.199    145 6875.55   0.09  47.9   5.29   18.2   0.694  8.16   -68.3   284.9     5.9
11/02/19 05:50:20 10.92  0.199    146 6871.40   0.09  47.9   5.29   17.0   0.695  8.16   -68.3   285.2     5.9
11/02/19 06:05:20 10.87  0.201    147 6804.69   0.10  47.8   5.29   17.0   0.693  8.15   -67.9   285.5     5.9
11/02/19 06:20:20 10.86  0.202    148 6778.30   0.10  47.7   5.28   17.0   0.693  8.15   -67.6   285.8     5.9
11/02/19 06:35:20 10.83  0.203    148 6761.86   0.10  47.7   5.28   18.2   0.692  8.15   -67.6   285.9     5.9
11/02/19 06:50:20 10.80  0.203    148 6767.80   0.10  47.6   5.27   18.2   0.692  8.15   -67.5   286.1     5.9
11/02/19 07:05:20 10.79  0.202    147 6793.05   0.10  47.6   5.27   18.2   0.691  8.15   -67.7   286.1     5.9
11/02/19 07:20:20 10.75  0.203    148 6778.30   0.10  47.6   5.28   17.0   0.688  8.15   -67.5   286.3     5.9
11/02/19 07:35:20 10.70  0.203    147 6792.88   0.10  47.4   5.26   17.0   0.690  8.15   -67.6   286.4     5.9
11/02/19 07:50:20 10.67  0.204    148 6752.63   0.10  47.3   5.26   17.0   0.689  8.14   -67.3   286.9     5.9
11/02/19 08:05:20 10.66  0.203    147 6780.93   0.10  47.3   5.25   17.0   0.687  8.15   -67.3   287.2     5.9
11/02/19 08:20:20 10.65  0.203    147 6792.88   0.10  47.2   5.24   17.0   0.686  8.15   -67.4   287.4     5.9
11/02/19 08:35:20 10.56  0.204    148 6770.95   0.10  47.2   5.26   17.0   0.685  8.14   -67.1   287.5     5.9
11/02/19 08:50:20 10.48  0.206    149 6724.92   0.10  47.1   5.25   18.2   0.686  8.14   -67.0   287.9     5.9
11/02/19 09:05:20 10.46  0.205    148 6754.72   0.10  47.2   5.27   18.2   0.684  8.13   -66.7   288.1     5.9
11/02/19 09:20:20 10.48  0.206    149 6727.51   0.10  47.2   5.26   17.0   0.682  8.14   -66.9   287.6     5.9
11/02/19 09:35:20 10.44  0.207    150 6686.66   0.10  47.1   5.26   18.2   0.680  8.13   -66.5   287.5     5.9
11/02/19 09:50:20 10.38  0.209    150 6644.63   0.10  47.1   5.27   18.2   0.678  8.13   -66.4   288.0     5.9
11/02/19 10:05:20 10.38  0.209    151 6633.37   0.10  47.1   5.27   17.0   0.678  8.12   -66.0   288.3     5.9
11/02/19 10:20:20 10.27  0.213    153 6546.56   0.10  47.0   5.27   17.0   0.674  8.11   -65.6   288.9     5.9
11/02/19 10:35:20 10.19  0.215    154 6492.25   0.10  47.0   5.27   18.2   0.678  8.11   -65.2   289.0     5.9
11/02/19 10:50:20 10.17  0.214    154 6508.53   0.10  46.9   5.27   18.2   0.675  8.11   -65.2   289.4     5.9
11/02/19 11:05:20 10.18  0.214    153 6516.94   0.10  47.0   5.28   18.2   0.671  8.11   -65.3   289.5     5.9
11/02/19 11:20:20 10.04  0.218    156 6429.67   0.10  46.8   5.28   18.2   0.664  8.10   -64.8   290.1     5.9
11/02/19 11:35:20 10.07  0.216    155 6460.89   0.10  46.9   5.28   17.0   0.665  8.10   -64.6   290.3     5.9
11/02/19 11:50:20 10.02  0.216    154 6490.00   0.10  47.0   5.30   18.2   0.660  8.10   -64.5   290.9     5.9
11/02/19 12:05:20 10.03  0.215    153 6516.94   0.10  47.1   5.31   17.0   0.658  8.10   -64.8   291.1     5.9
11/02/19 12:20:20 10.05  0.215    154 6512.41   0.10  47.2   5.32   17.0   0.654  8.10   -64.8   291.1     5.9
11/02/19 12:35:20 10.06  0.214    153 6535.63   0.10  47.3   5.32   17.0   0.649  8.10   -64.8   291.6     5.9
11/02/19 12:50:20 10.05  0.215    153 6524.56   0.10  47.2   5.32   18.2   0.649  8.10   -64.6   291.9     5.9
11/02/19 13:05:20 10.09  0.214    153 6539.87   0.10  47.3   5.33   17.0   0.645  8.10   -64.8   292.2     5.9
11/02/19 13:20:20 10.10  0.213    153 6547.71   0.10  47.3   5.32   17.0   0.645  8.10   -64.8   292.3     5.9
11/02/19 13:35:20 10.10  0.214    153 6530.42   0.10  47.3   5.32   18.2   0.643  8.10   -64.6   292.4     5.9
11/02/19 13:50:20 10.06  0.215    153 6515.16   0.10  47.3   5.33   17.0   0.638  8.10   -64.8   292.5     5.9
11/02/19 14:05:20  9.70  0.222    157 6361.48   0.11  47.5   5.39   17.0   0.639  8.09   -64.3   293.0     5.9
11/02/19 14:20:20 10.01  0.216    154 6485.34   0.10  47.3   5.34   17.0   0.636  8.10   -64.7   292.8     5.9
11/02/19 14:35:20  9.85  0.221    157 6359.01   0.11  47.4   5.36   17.0   0.635  8.09   -64.3   293.2     5.9
11/02/19 14:50:20 10.16  0.215    154 6479.09   0.10  47.3   5.31   17.0   0.631  8.10   -64.6   293.2     5.9
11/02/19 15:05:20  9.97  0.220    157 6386.59   0.10  47.3   5.34   17.0   0.631  8.09   -63.9   293.6     5.9
11/02/19 15:20:20 10.06  0.218    156 6419.59   0.10  47.2   5.32   18.2   0.631  8.09   -64.0   293.5     5.9
11/02/19 15:35:20 10.28  0.215    154 6477.49   0.10  47.2   5.29   18.2   0.629  8.09   -64.4   293.6     5.9
11/02/19 15:50:20 10.19  0.216    155 6451.03   0.10  47.1   5.29   17.0   0.630  8.10   -64.6   293.5     5.9
11/02/19 16:05:20 10.03  0.219    157 6381.77   0.10  47.1   5.31   17.0   0.628  8.09   -64.3   293.9     5.9
11/02/19 16:20:20 10.07  0.218    156 6422.42   0.10  47.0   5.29   18.2   0.627  8.09   -64.1   294.1     5.9
11/02/19 16:35:20 10.13  0.216    155 6455.48   0.10  46.9   5.28   17.0   0.628  8.09   -64.2   293.6     5.9
11/02/19 16:50:20 10.14  0.216    155 6469.66   0.10  46.8   5.26   18.2   0.627  8.09   -64.0   293.9     5.9
11/02/19 17:05:20 10.10  0.216    155 6472.05   0.10  46.7   5.26   17.0   0.627  8.09   -64.1   294.1     5.9
11/02/19 17:20:20  9.97  0.217    155 6464.07   0.10  46.6   5.26   17.0   0.625  8.08   -63.9   294.6     5.9
11/02/19 17:35:20  9.92  0.217    155 6471.09   0.10  46.5   5.25   17.0   0.626  8.08   -63.8   294.9     5.9
11/02/19 17:50:20  9.88  0.218    155 6446.59   0.10  46.5   5.26   17.0   0.627  8.08   -63.8   295.0     5.9
11/02/19 18:05:20  9.81  0.219    156 6429.04   0.10  46.5   5.27   17.0   0.629  8.08   -63.7   295.2     5.9
11/02/19 18:20:20  9.71  0.221    157 6377.73   0.11  46.6   5.29   17.0   0.629  8.08   -63.8   295.1     5.9
11/02/19 18:35:20  9.50  0.229    161 6193.16   0.11  47.4   5.42   17.0   0.629  8.09   -64.3   295.4     5.9
11/02/19 18:50:20  9.59  0.226    160 6263.00   0.11  47.3   5.38   17.0   0.631  8.10   -64.7   295.0     5.9
11/02/19 19:05:20  9.61  0.226    159 6279.35   0.11  47.1   5.36   17.0   0.632  8.09   -64.1   294.9     5.9
11/02/19 19:20:20  9.50  0.228    161 6228.92   0.11  46.8   5.34   17.0   0.632  8.08   -63.6   295.2     5.9
11/02/19 19:35:20  9.57  0.225    159 6303.81   0.11  46.9   5.34   17.0   0.633  8.08   -63.3   295.3     5.9
11/02/19 19:50:20  9.58  0.225    159 6291.10   0.11  46.8   5.33   17.0   0.633  8.08   -63.4   295.6     5.9
11/02/19 20:05:20  9.62  0.227    160 6250.60   0.11  46.8   5.32   17.0   0.632  8.07   -63.0   295.7     5.9
11/02/19 20:20:20  9.66  0.223    158 6347.62   0.11  46.6   5.30   17.0   0.631  8.08   -63.5   295.8     5.9
11/02/19 20:35:20  9.71  0.223    158 6347.77   0.11  46.6   5.29   17.0   0.631  8.08   -63.5   295.7     5.9
11/02/19 20:50:20  9.75  0.222    157 6362.56   0.11  46.5   5.27   17.0   0.630  8.08   -63.6   295.7     5.9
11/02/19 21:05:20  9.78  0.221    157 6380.22   0.11  46.4   5.26   17.0   0.630  8.08   -63.8   295.6     5.9
11/02/19 21:20:20  9.78  0.222    157 6349.31   0.11  46.4   5.26   17.0   0.630  8.08   -63.5   295.4     5.9
11/02/19 21:35:20  9.72  0.223    158 6326.94   0.11  46.2   5.24   17.0   0.630  8.07   -63.2   295.5     5.9
11/02/19 21:50:20  9.73  0.226    160 6250.90   0.11  46.0   5.23   17.0   0.629  8.07   -62.8   295.3     5.9
11/02/19 22:05:20  9.55  0.228    161 6227.59   0.11  46.1   5.25   18.2   0.628  8.07   -63.1   295.7     5.9
11/02/19 22:20:20  9.51  0.227    160 6244.94   0.11  46.1   5.26   17.0   0.628  8.06   -62.6   295.9     5.9
11/02/19 22:35:20  9.40  0.230    162 6188.77   0.11  46.1   5.27   17.0   0.629  8.06   -62.3   296.3     5.9
11/02/19 22:50:20  9.45  0.226    159 6280.85   0.11  46.1   5.27   18.2   0.629  8.06   -62.3   296.1     5.9
11/02/19 23:05:20  9.47  0.227    160 6253.73   0.11  46.3   5.29   17.0   0.629  8.05   -62.1   296.3     5.9
11/02/19 23:20:20  9.43  0.229    161 6206.65   0.11  46.2   5.28   17.0   0.630  8.05   -62.1   296.3     5.9
11/02/19 23:35:20  9.50  0.227    160 6253.88   0.11  46.1   5.26   17.0   0.631  8.06   -62.6   296.6     5.9
11/02/19 23:50:20  9.53  0.225    159 6296.09   0.11  46.2   5.27   17.0   0.630  8.06   -62.6   296.4     5.9
11/03/19 00:05:20  9.47  0.229    161 6220.05   0.11  46.1   5.27   17.0   0.632  8.06   -62.4   296.4     5.9
11/03/19 00:20:20  9.48  0.226    159 6279.65   0.11  45.8   5.23   17.0   0.633  8.06   -62.7   296.3     5.9
11/03/19 00:35:20  9.44  0.227    160 6262.55   0.11  45.8   5.23   18.2   0.633  8.06   -62.6   296.5     5.9
11/03/19 00:50:20  9.43  0.226    159 6286.73   0.11  45.7   5.23   17.0   0.632  8.06   -62.5   296.6     5.9
11/03/19 01:05:20  9.42  0.228    160 6251.94   0.11  45.7   5.23   17.0   0.633  8.06   -62.3   296.9     5.9
11/03/19 01:20:20  9.42  0.226    159 6288.09   0.11  45.7   5.23   17.0   0.633  8.06   -62.5   296.7     5.9
11/03/19 01:35:20  9.41  0.226    159 6288.24   0.11  45.6   5.22   17.0   0.632  8.06   -62.6   296.6     5.9
11/03/19 01:50:20  9.37  0.226    159 6299.87   0.11  45.5   5.22   17.0   0.632  8.06   -62.6   296.5     5.9
11/03/19 02:05:20  9.32  0.227    159 6280.55   0.11  45.5   5.22   17.0   0.632  8.06   -62.6   296.3     5.9
11/03/19 02:20:20  9.33  0.228    160 6266.89   0.11  45.6   5.23   18.2   0.632  8.06   -62.6   296.6     5.9
11/03/19 02:35:20  9.33  0.228    160 6268.09   0.11  45.6   5.23   17.0   0.632  8.06   -62.6   296.4     5.9
11/03/19 02:50:20  9.32  0.227    159 6283.26   0.11  45.7   5.24   17.0   0.632  8.07   -62.9   296.6     5.9
11/03/19 03:05:20  9.29  0.227    159 6287.03   0.11  45.7   5.24   17.0   0.633  8.07   -62.8   296.4     5.9
11/03/19 03:20:20  9.28  0.227    159 6282.96   0.11  45.6   5.24   17.0   0.632  8.06   -62.5   296.4     5.9
11/03/19 03:35:20  9.28  0.227    159 6299.12   0.11  45.5   5.22   17.0   0.632  8.07   -62.7   296.6     5.9
11/03/19 03:50:20  9.27  0.227    158 6310.34   0.11  45.4   5.21   17.0   0.631  8.07   -62.9   296.4     5.9
11/03/19 04:05:20  9.26  0.226    158 6321.90   0.11  45.4   5.21   17.0   0.630  8.07   -62.9   296.1     5.9
11/03/19 04:20:20  9.24  0.228    159 6270.19   0.11  45.4   5.22   17.0   0.629  8.06   -62.7   296.4     5.9
11/03/19 04:35:20  9.20  0.227    159 6308.36   0.11  45.4   5.21   17.0   0.628  8.07   -62.8   296.4     5.9
11/03/19 04:50:20  9.22  0.227    159 6302.90   0.11  45.4   5.22   17.0   0.628  8.07   -62.9   296.4     5.9
11/03/19 05:05:20  9.16  0.229    160 6260.60   0.11  45.3   5.21   17.0   0.629  8.06   -62.6   296.6     5.9
11/03/19 05:20:20  9.22  0.227    159 6294.43   0.11  45.2   5.19   17.0   0.630  8.06   -62.6   296.6     5.9
11/03/19 05:35:20  9.22  0.228    159 6278.60   0.11  45.3   5.21   17.0   0.629  8.07   -62.7   296.8     5.9
11/03/19 05:50:20  9.18  0.229    160 6265.69   0.11  45.2   5.20   17.0   0.630  8.06   -62.7   296.8     5.9
11/03/19 06:05:20  9.18  0.228    159 6272.89   0.11  45.2   5.20   17.0   0.632  8.06   -62.6   296.9     5.9
11/03/19 06:20:20  9.18  0.229    160 6258.96   0.11  45.1   5.19   17.0   0.633  8.06   -62.6   296.7     5.9
11/03/19 06:35:20  9.15  0.228    159 6277.24   0.11  45.1   5.19   17.0   0.633  8.07   -62.7   296.7     5.9
11/03/19 06:50:20  9.15  0.230    160 6244.94   0.11  45.0   5.19   17.0   0.635  8.07   -62.7   296.8     5.9
11/03/19 07:05:20  9.14  0.232    162 6189.06   0.11  45.1   5.19   17.0   0.636  8.07   -62.7   296.9     5.9
11/03/19 07:20:20  9.14  0.229    160 6264.79   0.11  45.0   5.19   17.0   0.637  8.07   -62.7   296.8     5.9
11/03/19 07:35:20  9.13  0.232    161 6196.23   0.11  45.0   5.18   17.0   0.638  8.06   -62.6   296.8     5.9
11/03/19 07:50:20  9.10  0.232    161 6197.99   0.11  44.9   5.17   18.2   0.639  8.06   -62.5   296.4     5.9
11/03/19 08:05:20  9.10  0.231    161 6211.21   0.11  44.9   5.18   17.0   0.640  8.06   -62.5   296.5     5.9
11/03/19 08:20:20  9.08  0.232    161 6202.68   0.11  44.9   5.17   16.4   0.641  8.06   -62.6   296.6     5.9
11/03/19 08:35:20  9.04  0.230    160 6252.39   0.11  44.7   5.16   18.2   0.643  8.06   -62.6   296.7     5.9
11/03/19 08:50:20  9.04  0.230    160 6260.30   0.11  44.8   5.17   17.0   0.645  8.06   -62.5   296.6     5.9
11/03/19 09:05:20  9.06  0.230    160 6253.14   0.11  44.7   5.16   17.0   0.646  8.06   -62.4   297.0     5.9
11/03/19 09:20:20  9.07  0.230    160 6243.60   0.11  44.7   5.15   18.2   0.649  8.06   -62.4   296.9     5.9
11/03/19 09:35:20  9.07  0.230    160 6239.59   0.11  44.7   5.15   18.2   0.650  8.06   -62.5   296.7     5.9
11/03/19 09:50:20  9.06  0.231    161 6230.10   0.11  44.6   5.15   17.0   0.651  8.06   -62.3   296.9     5.9
11/03/19 10:05:20  9.05  0.231    161 6229.81   0.11  44.6   5.15   16.4   0.651  8.06   -62.4   296.8     5.9
11/03/19 10:20:20  9.03  0.231    160 6236.18   0.11  44.5   5.14   17.0   0.651  8.06   -62.3   296.9     5.9
11/03/19 10:35:20  9.00  0.233    162 6178.27   0.11  44.3   5.12   17.0   0.652  8.06   -62.1   296.8     5.9
11/03/19 10:50:20  8.99  0.231    161 6224.92   0.11  44.3   5.12   17.0   0.657  8.06   -62.3   296.6     5.9
11/03/19 11:05:20  9.02  0.233    162 6181.62   0.11  44.3   5.12   17.0   0.659  8.06   -62.3   296.6     5.9
11/03/19 11:20:20  9.03  0.231    160 6235.14   0.11  44.3   5.11   17.0   0.660  8.06   -62.3   296.8     5.9
11/03/19 11:35:20  9.05  0.230    160 6249.26   0.11  44.3   5.11   17.0   0.662  8.06   -62.3   296.9     5.9
11/03/19 11:50:20  9.03  0.233    162 6186.14   0.11  44.1   5.09   17.0   0.664  8.05   -62.0   296.9     5.9
11/03/19 12:05:20  9.04  0.231    160 6231.29   0.11  44.2   5.10   17.0   0.665  8.05   -62.1   296.9     5.9
11/03/19 12:20:20  9.03  0.232    162 6190.09   0.11  44.0   5.08   17.0   0.667  8.05   -61.8   296.9     5.9
11/03/19 12:35:20  9.03  0.233    162 6187.31   0.11  43.9   5.07   17.0   0.666  8.05   -61.6   297.1     5.9
11/03/19 12:50:20  9.00  0.235    163 6117.71   0.11  43.9   5.07   17.0   0.665  8.04   -61.5   297.2     5.9
11/03/19 13:05:20  8.98  0.235    163 6120.57   0.11  43.9   5.08   17.0   0.664  8.04   -61.5   297.4     5.9
11/03/19 13:20:20  8.99  0.234    163 6145.39   0.11  44.0   5.08   17.0   0.661  8.05   -61.7   297.2     5.9
11/03/19 13:35:20  8.98  0.233    162 6172.74   0.11  44.0   5.08   17.0   0.660  8.05   -61.8   297.2     5.9
11/03/19 13:50:20  9.01  0.232    161 6206.35   0.11  43.9   5.07   17.0   0.660  8.05   -62.0   297.1     5.9
11/03/19 14:05:20  9.02  0.231    161 6226.55   0.11  43.9   5.07   17.0   0.662  8.05   -62.1   296.9     5.9
11/03/19 14:20:20  9.01  0.231    161 6229.66   0.11  43.9   5.07   17.0   0.662  8.05   -62.0   297.1     5.9
11/03/19 14:35:20  9.02  0.231    161 6228.03   0.11  43.9   5.07   17.0   0.662  8.05   -62.1   297.3     5.9
11/03/19 14:50:20  9.03  0.231    161 6218.57   0.11  43.9   5.07   17.0   0.660  8.06   -62.1   297.1     5.8
11/03/19 15:05:20  9.05  0.231    161 6219.75   0.11  44.0   5.07   17.0   0.662  8.06   -62.3   297.2     5.9
11/03/19 15:20:20  9.08  0.231    161 6221.23   0.11  44.1   5.08   17.0   0.661  8.06   -62.3   297.7     5.9
11/03/19 15:35:20  9.09  0.232    161 6204.30   0.11  44.1   5.08   17.0   0.661  8.06   -62.3   297.5     5.9
11/03/19 15:50:20  9.08  0.232    162 6187.46   0.11  43.9   5.07   17.0   0.663  8.06   -62.2   297.7     5.9
11/03/19 16:05:20  9.06  0.233    162 6170.42   0.11  43.9   5.07   16.4   0.664  8.05   -62.1   297.4     5.9
11/03/19 16:20:20  9.05  0.233    162 6166.21   0.11  43.8   5.05   17.0   0.665  8.05   -61.9   297.5     5.9
11/03/19 16:35:20  9.04  0.234    163 6151.02   0.11  43.8   5.05   17.0   0.665  8.05   -62.0   297.4     5.9
11/03/19 16:50:20  9.00  0.236    164 6114.15   0.11  43.7   5.04   17.0   0.668  8.05   -61.8   297.5     5.9
11/03/19 17:05:20  9.01  0.234    163 6140.21   0.11  43.7   5.05   17.0   0.670  8.05   -62.0   297.5     5.9
11/03/19 17:20:20  8.99  0.234    163 6150.15   0.11  43.6   5.04   17.0   0.668  8.05   -62.0   297.8     5.9
11/03/19 17:35:20  8.97  0.234    163 6147.84   0.11  43.6   5.04   17.0   0.674  8.05   -62.1   297.5     5.9
11/03/19 17:50:20  8.92  0.237    164 6095.10   0.11  43.5   5.03   17.0   0.675  8.05   -62.0   297.7     5.9
11/03/19 18:05:20  8.90  0.236    163 6127.72   0.11  43.4   5.03   17.0   0.677  8.05   -61.9   297.5     5.9
11/03/19 18:20:20  8.86  0.237    164 6091.41   0.11  43.4   5.03   17.0   0.676  8.05   -61.9   297.4     5.9
11/03/19 18:35:20  8.84  0.234    162 6177.54   0.11  43.4   5.03   17.0   0.678  8.05   -61.8   297.7     5.9
11/03/19 18:50:20  8.80  0.234    162 6181.48   0.11  43.2   5.02   17.0   0.680  8.05   -61.6   297.8     5.9
11/03/19 19:05:20  8.85  0.234    162 6189.94   0.11  43.1   5.00   17.0   0.681  8.05   -61.6   297.8     5.9
11/03/19 19:20:20  8.82  0.234    161 6193.30   0.11  43.1   5.00   17.0   0.682  8.05   -61.6   298.0     5.9
11/03/19 19:35:20  8.81  0.234    161 6197.11   0.11  43.1   5.00   17.0   0.684  8.05   -61.6   297.9     5.9
11/03/19 19:50:20  8.82  0.234    162 6187.46   0.11  43.1   5.00   17.0   0.685  8.05   -61.6   298.0     5.8
11/03/19 20:05:20  8.79  0.234    161 6193.74   0.11  43.0   5.00   17.0   0.685  8.05   -61.6   297.8     5.9
11/03/19 20:20:20  8.76  0.234    161 6202.10   0.11  43.0   5.00   17.0   0.686  8.05   -61.7   297.9     5.8
11/03/19 20:35:20  8.77  0.233    161 6208.26   0.11  43.0   4.99   17.0   0.688  8.05   -61.6   298.0     5.8
11/03/19 20:50:20  8.76  0.233    161 6212.09   0.11  42.9   4.99   17.0   0.689  8.05   -61.6   297.9     5.9
11/03/19 21:05:20  8.74  0.234    161 6211.80   0.11  43.0   5.00   17.0   0.689  8.05   -61.8   298.0     5.9
11/03/19 21:20:20  8.73  0.233    161 6214.30   0.11  42.7   4.97   17.0   0.690  8.05   -61.8   297.9     5.9
11/03/19 21:35:20  8.73  0.234    161 6204.44   0.11  42.8   4.97   17.0   0.691  8.05   -61.8   298.2     5.8
11/03/19 21:50:20  8.71  0.234    161 6208.56   0.11  42.7   4.97   17.0   0.691  8.05   -61.8   297.9     5.9
11/03/19 22:05:20  8.70  0.234    161 6206.65   0.11  42.7   4.97   16.4   0.693  8.05   -61.7   298.0     5.9
11/03/19 22:20:20  8.68  0.234    161 6204.44   0.11  42.6   4.95   18.2   0.696  8.05   -61.7   298.0     5.9
11/03/19 22:35:20  8.66  0.235    162 6185.85   0.11  42.5   4.95   17.0   0.697  8.05   -61.8   297.9     5.9
11/03/19 22:50:20  8.66  0.235    161 6198.28   0.11  42.5   4.95   17.0   0.698  8.05   -61.8   297.8     5.9
11/03/19 23:05:20  8.65  0.236    163 6153.61   0.11  42.5   4.95   17.0   0.698  8.05   -61.6   298.0     5.8
11/03/19 23:20:20  8.64  0.238    164 6111.44   0.11  42.4   4.94   17.0   0.697  8.05   -61.5   297.9     5.9
11/03/19 23:35:20  8.62  0.238    163 6117.00   0.11  42.4   4.94   17.0   0.698  8.04   -61.3   297.5     5.8
11/03/19 23:50:20  8.60  0.237    163 6141.94   0.11  42.3   4.93   17.0   0.698  8.04   -61.3   297.5     5.9
11/04/19 00:05:20  8.57  0.237    162 6154.48   0.11  42.3   4.93   17.0   0.698  8.05   -61.6   297.3     5.9
11/04/19 00:20:20  8.60  0.237    163 6149.57   0.11  42.2   4.92   16.4   0.698  8.04   -61.2   290.9     5.9
11/04/19 00:35:20  8.56  0.238    163 6121.28   0.11  42.1   4.92   17.0   0.700  8.04   -61.3   290.8     5.9
11/04/19 00:50:20  8.57  0.239    164 6108.16   0.11  42.1   4.92   17.0   0.702  8.04   -61.2   293.0     5.9
11/04/19 01:05:20  8.53  0.237    162 6154.05   0.11  42.0   4.91   17.0   0.705  8.05   -61.5   290.7     5.9
11/04/19 01:20:20  8.54  0.238    163 6128.44   0.11  42.0   4.91   17.0   0.706  8.03   -60.8   290.2     5.9
11/04/19 01:35:20  8.51  0.238    163 6142.66   0.11  41.9   4.90   17.0   0.707  8.04   -61.3   290.2     5.9
11/04/19 01:50:20  8.49  0.236    162 6188.92   0.11  41.9   4.90   17.0   0.707  8.05   -61.8   290.1     5.9
11/04/19 02:05:20  8.46  0.237    162 6172.45   0.11  41.6   4.87   17.0   0.708  8.05   -61.6   290.2     5.9
11/04/19 02:20:20  8.44  0.237    162 6163.89   0.11  41.8   4.90   17.0   0.708  8.05   -61.6   290.5     5.8
11/04/19 02:35:20  8.45  0.238    163 6146.83   0.11  41.7   4.88   17.0   0.709  8.04   -61.2   290.1     5.9
11/04/19 02:50:20  8.43  0.238    162 6154.05   0.11  41.7   4.88   17.0   0.710  8.05   -61.6   290.5     5.9
11/04/19 03:05:20  8.41  0.238    163 6147.84   0.11  41.6   4.88   17.0   0.713  8.03   -60.7   291.3     5.9
11/04/19 03:20:20  8.41  0.239    163 6132.17   0.11  41.7   4.88   17.0   0.712  8.05   -61.7   291.1     5.9
11/04/19 03:35:20  8.36  0.242    165 6068.71   0.12  41.6   4.88   17.0   0.713  8.05   -61.6   291.1     5.9
11/04/19 03:50:20  8.34  0.238    163 6152.46   0.11  41.5   4.87   17.0   0.709  8.05   -61.8   291.3     5.9
11/04/19 04:05:20  8.31  0.239    163 6137.48   0.11  41.5   4.87   17.0   0.710  8.05   -61.8   290.5     5.8
11/04/19 04:20:20  8.33  0.242    165 6065.06   0.12  41.5   4.87   17.0   0.710  8.05   -61.7   291.2     5.8
11/04/19 04:35:20  8.27  0.240    164 6115.43   0.11  41.4   4.87   17.0   0.709  8.05   -61.9   291.3     5.9
