======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/12/19 03:05:32 13.65  0.447    350   0.22  15.840   3.240  8.03   -76.0   151.7   5.9   1.4    13.1
10/12/19 03:35:32 13.59  0.447    349   0.22  15.837   3.234  8.02   -75.3   150.1  10.3   2.4    13.0
10/12/19 04:05:32 13.52  0.447    349   0.22  15.839   3.238  8.01   -74.8   151.3   5.1   1.2    13.1
10/12/19 04:35:32 13.48  0.447    348   0.22  15.835   3.230  8.00   -74.5   152.6   5.6   1.3    13.1
10/12/19 05:05:32 13.43  0.447    348   0.22  15.831   3.220  8.00   -74.3   151.6   6.2   1.5    13.1
10/12/19 05:35:32 13.37  0.447    348   0.22  15.830   3.218  7.99   -73.9   150.3   5.2   1.2    13.1
10/12/19 06:05:32 13.34  0.447    348   0.22  15.827   3.211  7.98   -73.4   154.0   5.5   1.3    13.1
10/12/19 06:35:32 13.30  0.447    347   0.22  15.821   3.197  7.97   -73.1   154.2   4.6   1.1    13.1
10/12/19 07:05:32 13.26  0.448    347   0.22  15.826   3.209  7.97   -72.9   149.7   4.3   1.0    13.1
10/12/19 07:35:32 13.23  0.448    347   0.22  15.824   3.202  7.97   -72.9   143.8   5.5   1.3    13.1
10/12/19 08:05:32 13.20  0.448    347   0.22  15.828   3.213  7.95   -71.8   154.0   4.7   1.1    13.1
10/12/19 08:35:32 13.16  0.448    347   0.22  15.832   3.221  7.96   -72.2   152.6   4.9   1.2    13.0
10/12/19 09:05:32 13.19  0.448    347   0.22  15.833   3.225  7.94   -71.2   152.5   4.9   1.2    13.1
10/12/19 09:35:32 13.22  0.448    347   0.22  15.833   3.225  7.94   -71.1   154.4   2.7   0.6    13.1
10/12/19 10:05:32 13.21  0.448    347   0.22  15.831   3.220  7.94   -71.4   148.9   4.2   1.0    13.1
10/12/19 10:35:32 13.19  0.448    347   0.22  15.832   3.221  7.96   -72.4   149.7   4.6   1.1    13.1
10/12/19 11:05:32 13.16  0.448    347   0.22  15.829   3.215  7.97   -72.8   141.7   3.9   0.9    13.0
10/12/19 11:35:32 13.16  0.448    347   0.22  15.827   3.211  7.96   -72.1   145.1   4.7   1.1    13.1
10/12/19 12:05:32 13.17  0.448    347   0.22  15.830   3.217  7.97   -72.6   142.2   5.0   1.2    13.1
10/12/19 12:35:32 13.16  0.448    347   0.22  15.837   3.232  7.93   -70.6   152.9   2.4   0.6    13.1
10/12/19 13:05:32 13.16  0.448    347   0.22  15.833   3.224  7.93   -70.8   147.5   3.6   0.8    13.1
10/12/19 13:35:32 13.18  0.448    347   0.22  15.829   3.215  7.94   -71.5   149.8   3.4   0.8    13.1
10/12/19 14:05:32 13.22  0.447    347   0.22  15.829   3.215  7.97   -72.7   151.1   6.3   1.5    13.1
10/12/19 14:35:32 13.23  0.447    347   0.22  15.826   3.207  7.99   -73.5   142.3   5.6   1.3    13.0
10/12/19 15:05:32 13.23  0.447    347   0.22  15.827   3.211  7.97   -72.6   150.3   5.3   1.3    13.1
10/12/19 15:35:32 13.23  0.447    347   0.22  15.830   3.216  7.96   -72.5   152.5   3.9   0.9    13.1
10/12/19 16:05:32 13.23  0.447    347   0.22  15.830   3.218  7.97   -72.8   150.0   3.0   0.7    13.1
10/12/19 16:35:32 13.25  0.447    347   0.22  15.833   3.224  7.99   -73.9   140.1   5.9   1.4    13.1
10/12/19 17:05:32 13.25  0.447    347   0.22  15.837   3.233  7.99   -73.6   140.7   6.0   1.4    13.1
10/12/19 17:35:32 13.25  0.447    347   0.22  15.848   3.258  7.97   -72.9   149.4   6.2   1.5    13.1
10/12/19 18:05:32 13.24  0.447    347   0.22  15.850   3.264  7.98   -73.1   149.8   7.7   1.8    13.1
10/12/19 18:35:32 13.17  0.448    347   0.22  15.852   3.267  7.96   -72.3   149.9   4.0   0.9    13.1
10/12/19 19:05:32 13.23  0.447    347   0.22  15.852   3.268  7.97   -72.9   148.5   5.5   1.3    13.1
10/12/19 19:35:32 13.21  0.447    346   0.22  15.857   3.279  7.97   -72.6   149.9   5.3   1.3    13.0
10/12/19 20:05:32 13.19  0.447    347   0.22  15.860   3.286  7.96   -72.3   149.9   4.9   1.2    13.1
10/12/19 20:35:32 13.17  0.447    346   0.22  15.864   3.295  7.96   -72.5   149.8   3.8   0.9    13.1
10/12/19 21:05:32 13.16  0.447    346   0.22  15.866   3.300  7.96   -72.3   148.9   6.8   1.6    13.1
10/12/19 21:35:32 13.14  0.447    346   0.22  15.870   3.310  7.96   -72.1   148.4   4.9   1.2    13.0
10/12/19 22:05:32 13.14  0.447    346   0.22  15.873   3.317  7.95   -71.8   148.6   3.7   0.9    13.1
10/12/19 22:35:32 13.11  0.448    346   0.22  15.876   3.323  7.95   -72.0   148.8   4.5   1.1    13.1
10/12/19 23:05:32 13.09  0.448    346   0.22  15.880   3.334  7.95   -72.0   148.2   4.7   1.1    13.1
10/12/19 23:35:32 13.10  0.448    346   0.22  15.879   3.331  7.95   -71.6   147.8   3.5   0.8    13.1
10/13/19 00:05:32 13.08  0.448    346   0.22  15.882   3.337  7.94   -71.2   148.7   5.1   1.2    13.0
10/13/19 00:35:32 13.06  0.448    346   0.22  15.883   3.338  7.94   -71.0   148.4   5.2   1.2    13.1
10/13/19 01:05:31 13.03  0.448    346   0.22  15.887   3.349  7.94   -71.4   147.8   4.3   1.0    13.1
10/13/19 01:35:32 13.03  0.448    346   0.22  15.886   3.346  7.94   -71.0   148.6   6.1   1.4    13.1
10/13/19 02:05:32 13.03  0.448    346   0.22  15.885   3.345  7.93   -70.5   150.0   4.2   1.0    13.1
10/13/19 02:35:32 12.99  0.448    345   0.22  15.885   3.344  7.92   -70.2   150.0   3.2   0.8    13.1
10/13/19 03:05:32 12.97  0.448    345   0.22  15.886   3.346  7.92   -70.4   148.1   4.6   1.1    13.1
10/13/19 03:35:32 12.95  0.448    345   0.22  15.890   3.356  7.92   -70.3   150.3   4.2   1.0    13.0
10/13/19 04:05:32 12.95  0.448    345   0.22  15.890   3.356  7.92   -70.3   148.9   3.6   0.9    13.1
10/13/19 04:35:32 12.91  0.449    345   0.22  15.892   3.360  7.92   -70.0   149.7   3.1   0.7    13.1
10/13/19 05:05:32 12.90  0.449    345   0.22  15.893   3.363  7.92   -70.0   149.7   3.3   0.8    13.1
10/13/19 05:35:32 12.89  0.449    345   0.22  15.895   3.366  7.92   -70.3   143.4   4.1   1.0    13.1
10/13/19 06:05:32 12.89  0.449    345   0.22  15.898   3.373  7.93   -70.8   140.3   3.9   0.9    13.1
10/13/19 06:35:32 12.85  0.449    345   0.22  15.900   3.378  7.93   -70.9   139.9   3.9   0.9    13.1
10/13/19 07:05:32 12.84  0.449    344   0.22  15.903   3.385  7.93   -70.7   140.2   4.9   1.2    13.1
10/13/19 07:35:32 12.83  0.449    344   0.22  15.901   3.381  7.91   -69.8   148.9   3.8   0.9    13.1
10/13/19 08:05:32 12.82  0.449    344   0.22  15.902   3.384  7.91   -69.7   148.9   2.9   0.7    13.1
10/13/19 08:35:32 12.79  0.449    344   0.22  15.902   3.382  7.91   -69.5   149.9   4.0   1.0    13.1
10/13/19 09:05:32 12.79  0.449    344   0.22  15.898   3.374  7.91   -69.6   149.5   5.3   1.3    13.1
10/13/19 09:35:32 12.80  0.449    344   0.22  15.894   3.365  7.91   -69.7   148.9   4.7   1.1    13.0
10/13/19 10:05:32 12.81  0.449    345   0.22  15.892   3.360  7.91   -69.8   148.4   3.8   0.9    13.1
10/13/19 10:35:32 12.90  0.450    346   0.22  15.888   3.352  7.92   -70.1   147.6   5.3   1.2    13.1
10/13/19 11:05:32 12.94  0.449    346   0.22  15.884   3.343  7.94   -71.1   138.7   5.5   1.3    13.1
10/13/19 11:35:32 12.90  0.449    346   0.22  15.878   3.328  7.92   -70.4   140.4   3.6   0.8    13.1
10/13/19 12:05:32 12.94  0.449    346   0.22  15.873   3.316  7.93   -70.7   139.3   3.6   0.9    13.1
10/13/19 12:35:32 12.97  0.449    346   0.22  15.867   3.303  7.92   -70.2   150.2   5.0   1.2    13.0
10/13/19 13:05:32 13.08  0.449    347   0.22  15.860   3.286  7.94   -71.2   143.9   4.0   0.9    13.1
10/13/19 13:35:32 13.24  0.449    348   0.22  15.854   3.272  7.96   -72.1   139.6   4.3   1.0    13.1
10/13/19 14:05:32 13.14  0.450    348   0.22  15.850   3.262  7.94   -71.4   148.6   7.0   1.7    13.1
10/13/19 14:35:32 13.42  0.449    350   0.22  15.842   3.244  7.94   -71.5   148.3   4.7   1.1    13.1
10/13/19 15:05:32 13.59  0.449    351   0.22  15.830   3.216  7.97   -72.6   147.5   6.0   1.4    13.1
10/13/19 15:35:32 13.59  0.449    351   0.22  15.823   3.201  7.97   -73.1   144.3   4.9   1.1    13.1
10/13/19 16:05:31 13.51  0.449    351   0.22  15.821   3.196  7.97   -72.9   148.8   5.8   1.4    13.0
10/13/19 16:35:31 13.65  0.450    352   0.22  15.816   3.186  7.98   -73.4   148.4   4.5   1.1    13.1
10/13/19 17:05:32 13.70  0.449    352   0.22  15.816   3.185  8.00   -74.2   145.6   4.4   1.0    13.1
10/13/19 17:35:32 13.65  0.450    352   0.22  15.812   3.175  7.99   -73.8   147.5   3.7   0.9    13.1
10/13/19 18:05:31 13.32  0.451    350   0.22  15.809   3.168  7.96   -72.4   138.2   5.8   1.4    13.1
10/13/19 18:35:31 13.44  0.450    350   0.22  15.811   3.172  7.99   -73.9   138.1   5.5   1.3    13.1
10/13/19 19:05:31 13.41  0.450    350   0.22  15.811   3.173  7.97   -72.6   149.3   5.1   1.2    13.0
10/13/19 19:35:31 13.29  0.450    349   0.22  15.818   3.189  7.96   -72.1   149.0   3.2   0.8    13.1
10/13/19 20:05:31 13.12  0.451    349   0.22  15.826   3.207  7.94   -71.5   149.0   4.1   1.0    13.1
10/13/19 20:35:32 13.32  0.450    349   0.22  15.829   3.215  7.96   -72.4   148.7   5.1   1.2    13.1
10/13/19 21:05:32 13.31  0.450    349   0.22  15.828   3.212  7.97   -72.6   149.3   3.3   0.8    13.1
10/13/19 21:35:32 13.30  0.450    349   0.22  15.823   3.202  7.96   -72.4   149.3   5.9   1.4    13.1
10/13/19 22:05:31 13.25  0.450    349   0.22  15.816   3.184  7.96   -72.2   148.6   4.9   1.2    13.1
10/13/19 22:35:31 13.20  0.450    349   0.22  15.817   3.187  7.96   -72.0   149.1   4.4   1.1    13.1
10/13/19 23:05:32 13.10  0.450    348   0.22  15.817   3.187  7.95   -71.8   148.5   3.9   0.9    13.2
10/13/19 23:35:32 13.04  0.450    347   0.22  15.816   3.184  7.94   -71.5   149.0   4.7   1.1    13.1
10/14/19 00:05:32 13.01  0.450    347   0.22  15.814   3.180  7.95   -71.7   147.7   3.9   0.9    13.1
10/14/19 00:35:32 13.00  0.451    347   0.22  15.815   3.182  7.95   -71.7   146.7   4.2   1.0    13.1
10/14/19 01:05:32 12.99  0.451    347   0.22  15.813   3.179  7.95   -71.9   147.1   2.9   0.7    13.1
10/14/19 01:35:32 12.96  0.451    347   0.22  15.811   3.173  7.95   -71.5   146.7   3.5   0.8    13.1
10/14/19 02:05:32 12.95  0.451    347   0.22  15.806   3.160  7.94   -71.4   148.4   4.1   1.0    13.0
10/14/19 02:35:32 12.93  0.451    347   0.22  15.804   3.156  7.96   -72.2   138.5   4.2   1.0    13.1
10/14/19 03:05:32 12.92  0.451    347   0.22  15.800   3.147  7.96   -72.3   138.8   3.5   0.8    13.1
10/14/19 03:35:32 12.87  0.451    346   0.22  15.799   3.145  7.94   -71.1   148.8   4.5   1.1    13.0
10/14/19 04:05:32 12.85  0.451    346   0.22  15.798   3.142  7.94   -71.3   147.6   3.9   0.9    13.0
10/14/19 04:35:32 12.84  0.451    347   0.22  15.797   3.141  7.94   -71.1   148.8   3.7   0.9    13.0
10/14/19 05:05:32 12.81  0.451    346   0.22  15.801   3.150  7.94   -71.0   149.6   4.2   1.0    13.1
10/14/19 05:35:32 12.81  0.451    346   0.22  15.801   3.149  7.95   -71.9   139.0   3.4   0.8    13.1
10/14/19 06:05:32 12.78  0.451    346   0.22  15.796   3.139  7.95   -71.6   139.5   4.2   1.0    13.1
10/14/19 06:35:32 12.77  0.451    346   0.22  15.802   3.152  7.94   -71.4   139.9   4.5   1.1    13.1
10/14/19 07:05:32 12.77  0.451    346   0.22  15.803   3.154  7.94   -71.4   139.5   4.3   1.0    13.1
10/14/19 07:35:32 12.75  0.451    346   0.22  15.806   3.162  7.94   -71.0   139.5   3.7   0.9    13.1
10/14/19 08:05:32 12.74  0.451    346   0.22  15.812   3.175  7.94   -71.3   139.0   3.6   0.8    13.1
10/14/19 08:35:32 12.74  0.451    346   0.22  15.809   3.168  7.94   -71.2   138.8   4.3   1.0    13.1
10/14/19 09:05:32 12.76  0.451    346   0.22  15.808   3.167  7.93   -70.7   148.2   4.6   1.1    13.1
10/14/19 09:35:32 12.77  0.451    346   0.22  15.811   3.172  7.93   -70.8   149.5   6.4   1.5    13.1
10/14/19 10:05:32 12.78  0.451    346   0.22  15.817   3.187  7.94   -71.0   149.3   6.3   1.5    13.1
10/14/19 10:35:32 12.77  0.451    346   0.22  15.818   3.190  7.93   -70.9   150.3   4.5   1.1    13.1
10/14/19 11:05:32 12.82  0.451    346   0.22  15.818   3.188  7.94   -71.2   151.0   5.9   1.4    13.1
10/14/19 11:35:32 12.86  0.451    347   0.22  15.820   3.193  7.95   -71.9   148.6   6.1   1.4    13.1
10/14/19 12:05:32 12.90  0.451    347   0.22  15.814   3.179  7.96   -72.1   150.1   8.4   2.0    13.1
10/14/19 12:35:32 12.94  0.451    347   0.22  15.813   3.179  7.97   -72.6   148.6   4.9   1.2    13.1
10/14/19 13:05:32 13.16  0.451    349   0.22  15.810   3.172  8.00   -74.4   140.0   7.6   1.8    13.1
10/14/19 13:35:32 12.91  0.451    347   0.22  15.818   3.190  7.96   -72.3   149.4   4.9   1.1    13.1
10/14/19 14:05:32 13.18  0.451    349   0.22  15.817   3.187  8.00   -74.1   145.0   6.9   1.6    13.1
10/14/19 14:35:32 13.36  0.451    350   0.22  15.820   3.195  8.00   -74.3   148.9   6.4   1.5    13.1
10/14/19 15:05:32 13.41  0.451    351   0.22  15.828   3.212  8.03   -75.9   147.8   6.7   1.6    13.1
10/14/19 15:35:31 13.31  0.451    350   0.22  15.831   3.220  8.01   -75.0   147.3   7.1   1.7    13.1
10/14/19 16:05:31 13.29  0.451    351   0.22  15.835   3.228  8.03   -75.6   148.3   4.4   1.0    13.1
10/14/19 16:35:31 13.29  0.451    350   0.22  15.841   3.242  8.01   -74.6   149.6   5.2   1.2    13.1
10/14/19 17:05:32 13.26  0.451    350   0.22  15.845   3.253  8.01   -74.8   148.4   4.8   1.1    13.1
10/14/19 17:35:32 13.20  0.451    349   0.22  15.854   3.272  8.03   -75.9   138.1   4.3   1.0    13.1
10/14/19 18:05:32 13.19  0.452    350   0.22  15.857   3.280  8.04   -76.4   137.8   3.3   0.8    13.1
10/14/19 18:35:32 13.22  0.451    350   0.22  15.863   3.294  8.05   -77.0   138.2   3.4   0.8    13.0
10/14/19 19:05:32 12.90  0.451    347   0.22  15.873   3.317  7.96   -72.0   149.5   3.7   0.9    13.1
10/14/19 19:35:32 12.98  0.452    348   0.22  15.878   3.327  8.00   -74.2   147.0   5.8   1.4    13.1
10/14/19 20:05:32 12.93  0.452    348   0.22  15.881   3.335  8.00   -74.0   147.0   3.6   0.8    13.1
10/14/19 20:35:32 12.94  0.452    348   0.22  15.884   3.343  8.01   -74.6   146.5   3.9   0.9    13.1
10/14/19 21:05:32 12.96  0.453    349   0.22  15.887   3.349  8.01   -74.6   146.7   3.1   0.7    13.1
10/14/19 21:35:32 12.99  0.452    348   0.22  15.889   3.354  8.03   -75.6   146.7   5.6   1.3    13.1
10/14/19 22:05:32 12.98  0.452    348   0.22  15.892   3.361  8.05   -76.8   145.7   5.3   1.3    13.1
10/14/19 22:35:32 12.93  0.452    348   0.22  15.892   3.360  8.04   -76.3   145.3   3.5   0.8    13.1
10/14/19 23:05:32 12.93  0.451    347   0.22  15.892   3.360  8.03   -75.7   146.2   3.1   0.7    13.1
10/14/19 23:35:32 12.90  0.451    347   0.22  15.894   3.365  8.02   -75.0   147.0   4.3   1.0    13.1
10/15/19 00:05:32 12.85  0.451    347   0.22  15.898   3.373  8.01   -74.5   146.7   3.6   0.9    13.0
10/15/19 00:35:32 12.84  0.451    346   0.22  15.896   3.370  7.99   -73.9   149.1   3.9   0.9    13.1
10/15/19 01:05:32 12.80  0.451    346   0.22  15.898   3.375  8.00   -74.0   146.5   3.4   0.8    13.1
10/15/19 01:35:32 12.79  0.451    346   0.22  15.900   3.378  7.98   -73.3   148.3   4.6   1.1    13.0
10/15/19 02:05:32 12.76  0.452    346   0.22  15.901   3.381  7.98   -73.0   147.0   3.7   0.9    13.1
10/15/19 02:35:32 12.72  0.452    346   0.22  15.904   3.388  7.97   -72.6   145.9   3.9   0.9    13.0
10/15/19 03:05:32 12.69  0.452    345   0.22  15.905   3.389  7.96   -72.3   146.4   3.6   0.8    13.1
10/15/19 03:35:32 12.67  0.452    345   0.22  15.906   3.393  7.96   -71.9   147.2   2.6   0.6    13.1
10/15/19 04:05:32 12.67  0.452    345   0.22  15.908   3.398  7.94   -71.4   150.4   3.2   0.8    13.1
10/15/19 04:35:32 12.65  0.452    345   0.22  15.914   3.412  7.94   -71.1   150.6   2.5   0.6    13.0
10/15/19 05:05:32 12.62  0.452    345   0.22  15.914   3.412  7.94   -71.4   149.7   1.7   0.4    13.1
10/15/19 05:35:32 12.59  0.452    345   0.22  15.919   3.422  7.94   -71.2   150.9   2.7   0.6    13.1
10/15/19 06:05:32 12.56  0.453    345   0.22  15.921   3.428  7.94   -71.4   147.6   2.6   0.6    13.0
10/15/19 06:35:32 12.54  0.452    345   0.22  15.926   3.438  7.98   -73.2   138.3   2.8   0.7    13.0
10/15/19 07:05:32 12.50  0.453    345   0.22  15.927   3.442  7.97   -72.4   148.5   4.3   1.0    13.1
10/15/19 07:35:32 12.47  0.453    344   0.22  15.928   3.443  7.98   -73.0   138.1   4.3   1.0    13.0
10/15/19 08:05:32 12.45  0.453    345   0.22  15.931   3.450  7.95   -71.8   147.7   3.4   0.8    13.0
10/15/19 08:35:32 12.42  0.453    344   0.22  15.932   3.453  7.95   -71.8   148.4   2.9   0.7    13.1
10/15/19 09:05:32 12.42  0.453    345   0.22  15.933   3.455  7.95   -71.4   148.7   2.7   0.6    13.1
10/15/19 09:35:32 12.42  0.453    344   0.22  15.931   3.449  7.96   -72.0   148.1   4.9   1.2    13.0
10/15/19 10:05:32 12.45  0.453    344   0.22  15.927   3.441  7.96   -72.1   147.8   4.2   1.0    13.0
10/15/19 10:35:32 12.51  0.453    345   0.22  15.921   3.426  7.96   -72.3   148.4   4.9   1.2    13.0
10/15/19 11:05:32 12.53  0.453    345   0.22  15.914   3.412  7.97   -72.7   147.0   6.4   1.5    13.1
10/15/19 11:35:32 12.52  0.453    345   0.22  15.912   3.407  7.98   -73.1   145.7   6.7   1.6    13.1
10/15/19 12:05:32 12.55  0.453    346   0.22  15.910   3.401  7.99   -73.4   148.3   5.9   1.4    13.1
10/15/19 12:35:32 12.62  0.453    346   0.22  15.905   3.391  8.00   -74.0   147.2   7.7   1.8    13.1
10/15/19 13:05:32 12.66  0.454    347   0.22  15.895   3.367  7.99   -73.9   147.3   8.6   2.0    13.1
10/15/19 13:35:32 12.73  0.454    348   0.22  15.888   3.352  8.01   -74.5   147.6   7.8   1.8    13.1
10/15/19 14:05:32 12.92  0.455    350   0.22  15.882   3.336  8.02   -75.4   146.1  10.3   2.4    13.0
10/15/19 14:35:32 13.38  0.453    353   0.22  15.875   3.321  8.04   -76.4   146.2   6.3   1.5    13.1
10/15/19 15:05:32 13.42  0.453    353   0.22  15.869   3.308  8.05   -77.0   145.9   6.9   1.6    13.1
10/15/19 15:35:32 13.52  0.454    354   0.22  15.864   3.296  8.06   -77.2   145.1   6.8   1.6    13.1
10/15/19 16:05:32 13.61  0.454    355   0.22  15.856   3.277  8.06   -77.3   143.5   6.8   1.6    13.1
10/15/19 16:35:31 13.57  0.454    355   0.22  15.852   3.268  8.06   -77.4   147.0   5.9   1.4    13.0
10/15/19 17:05:31 13.45  0.454    354   0.22  15.849   3.262  8.06   -77.4   145.3   5.9   1.4    13.1
10/15/19 17:35:32 13.42  0.454    354   0.22  15.848   3.259  8.05   -77.0   145.4   5.8   1.4    13.0
10/15/19 18:05:32 13.42  0.454    354   0.22  15.847   3.256  8.06   -77.1   136.7   5.3   1.2    13.1
10/15/19 18:35:32 13.31  0.454    352   0.22  15.849   3.261  8.04   -76.3   144.3   5.4   1.3    13.1
10/15/19 19:05:31 13.43  0.453    353   0.22  15.851   3.265  8.05   -76.9   135.9   6.2   1.5    13.1
10/15/19 19:35:32 13.14  0.454    351   0.22  15.851   3.265  8.01   -74.8   145.0   4.4   1.0    13.1
10/15/19 20:05:32 13.42  0.453    353   0.22  15.852   3.267  8.03   -75.7   145.0   4.9   1.2    13.1
10/15/19 20:35:32 13.32  0.454    352   0.22  15.851   3.266  8.03   -75.9   145.0   3.8   0.9    13.1
10/15/19 21:05:32 13.28  0.454    352   0.22  15.845   3.252  8.03   -75.9   145.9   4.4   1.0    13.1
10/15/19 21:35:32 13.13  0.455    352   0.22  15.839   3.238  8.03   -76.0   145.4   5.2   1.2    13.1
10/15/19 22:05:32 13.15  0.454    351   0.22  15.836   3.231  8.03   -76.0   146.2   5.4   1.3    13.1
10/15/19 22:35:32 13.07  0.454    351   0.22  15.831   3.220  8.03   -75.7   146.7   4.2   1.0    13.1
10/15/19 23:05:32 13.01  0.454    350   0.22  15.827   3.209  8.04   -76.0   144.8   5.2   1.2    13.1
10/15/19 23:35:32 12.94  0.454    350   0.22  15.823   3.200  8.04   -76.0   143.9   5.1   1.2    13.0
10/16/19 00:05:32 12.91  0.454    349   0.22  15.817   3.187  8.03   -75.7   145.8   4.5   1.1    13.1
10/16/19 00:35:32 12.84  0.454    349   0.22  15.815   3.181  8.04   -76.1   136.7   3.6   0.8    13.0
10/16/19 01:05:32 12.76  0.455    349   0.22  15.808   3.167  8.01   -74.8   146.4   3.6   0.9    13.0
10/16/19 01:35:32 12.72  0.455    348   0.22  15.804   3.156  8.01   -74.5   146.5   4.8   1.1    13.0
10/16/19 02:05:32 12.71  0.455    348   0.22  15.797   3.141  8.01   -74.8   143.9   4.4   1.0    13.0
10/16/19 02:35:32 12.64  0.454    347   0.22  15.790   3.125  8.01   -74.7   136.8   4.4   1.0    13.0
10/16/19 03:05:32 12.62  0.454    347   0.22  15.789   3.122  7.99   -73.7   148.1   4.2   1.0    13.1
10/16/19 03:35:32 12.61  0.455    347   0.22  15.780   3.102  7.99   -73.6   148.4   4.7   1.1    13.0
10/16/19 04:05:32 12.57  0.455    347   0.22  15.772   3.082  7.99   -73.5   145.7   5.7   1.3    13.0
10/16/19 04:35:32 12.52  0.455    347   0.22  15.767   3.072  7.97   -72.8   147.2   3.3   0.8    13.1
10/16/19 05:05:32 12.47  0.455    346   0.22  15.761   3.057  7.96   -72.3   148.7   3.7   0.9    13.0
10/16/19 05:35:32 12.45  0.455    346   0.22  15.762   3.059  7.98   -73.3   137.3   3.6   0.9    13.1
10/16/19 06:05:31 12.42  0.456    346   0.22  15.757   3.047  7.97   -72.7   137.8   3.9   0.9    13.1
10/16/19 06:35:32 12.45  0.455    346   0.22  15.747   3.025  7.97   -72.4   147.9   3.4   0.8    13.1
10/16/19 07:05:32 12.45  0.455    346   0.22  15.731   2.987  7.98   -73.4   137.4   3.1   0.7    13.0
10/16/19 07:35:32 12.42  0.455    346   0.22  15.718   2.958  7.95   -71.8   148.9   3.3   0.8    13.1
10/16/19 08:05:31 12.41  0.455    346   0.22  15.716   2.954  7.95   -71.7   148.7   3.5   0.8    13.1
10/16/19 08:35:31 12.40  0.456    346   0.22  15.712   2.943  7.95   -71.4   146.4   3.8   0.9    13.1
10/16/19 09:05:32 12.38  0.456    346   0.22  15.709   2.936  7.93   -70.6   148.4   3.8   0.9    13.0
10/16/19 09:35:32 12.37  0.457    346   0.22  15.699   2.913  7.92   -70.0   149.9   3.2   0.8    13.1
10/16/19 10:05:32 12.39  0.456    346   0.22  15.695   2.906  7.93   -70.6   147.6   3.8   0.9    13.1
10/16/19 10:35:32 12.41  0.456    346   0.22  15.686   2.883  7.95   -71.7   147.3   4.2   1.0    13.1
10/16/19 11:05:32 12.41  0.456    346   0.22  15.677   2.863  7.95   -71.8   146.9   4.4   1.0    13.1
10/16/19 11:35:32 12.42  0.456    346   0.22  15.677   2.862  7.96   -72.0   147.9   4.8   1.1    13.0
10/16/19 12:05:31 12.42  0.456    346   0.22  15.669   2.846  7.96   -72.2   147.8   4.3   1.0    13.1
10/16/19 12:35:32 12.42  0.456    347   0.22  15.667   2.839  7.97   -72.5   138.6   4.9   1.2    13.1
10/16/19 13:05:32 12.42  0.456    347   0.22  15.660   2.824  7.95   -71.8   148.5   3.4   0.8    13.1
10/16/19 13:35:32 12.47  0.456    347   0.22  15.656   2.813  7.97   -72.6   147.0   4.6   1.1    13.1
10/16/19 14:05:32 12.48  0.456    347   0.22  15.656   2.815  7.97   -72.6   148.3   5.1   1.2    13.1
10/16/19 14:35:32 12.46  0.455    346   0.22  15.643   2.785  7.98   -72.9   148.3   5.4   1.3    13.1
10/16/19 15:05:32 12.48  0.455    347   0.22  15.628   2.750  7.98   -73.1   146.8   5.6   1.3    13.1
10/16/19 15:35:32 12.50  0.455    346   0.22  15.615   2.719  7.99   -73.5   147.6   5.5   1.3    13.0
10/16/19 16:05:32 12.45  0.455    346   0.22  15.604   2.695  7.98   -73.1   149.7   3.9   0.9    13.1
10/16/19 16:35:32 12.45  0.455    346   0.22  15.595   2.673  7.99   -73.4   146.5   4.1   1.0    13.0
10/16/19 17:05:32 12.47  0.455    346   0.22  15.593   2.668  7.98   -73.1   147.1   4.3   1.0    13.0
10/16/19 17:35:32 12.43  0.456    346   0.22  15.610   2.708  7.98   -73.2   138.2   4.4   1.0    13.1
10/16/19 18:05:32 12.45  0.454    345   0.22  15.614   2.717  8.00   -74.0   137.7   3.6   0.9    13.1
10/16/19 18:35:32 12.41  0.454    345   0.22  15.613   2.716  7.98   -73.1   139.5   4.0   1.0    13.1
10/16/19 19:05:32 12.40  0.454    345   0.22  15.614   2.717  7.98   -73.3   139.6   3.5   0.8    13.1
10/16/19 19:35:32 12.37  0.455    345   0.22  15.609   2.706  7.99   -73.9   138.4   4.3   1.0    13.1
10/16/19 20:05:32 12.37  0.453    344   0.22  15.605   2.697  7.97   -72.6   150.0   5.0   1.2    13.1
10/16/19 20:35:32 12.37  0.454    344   0.22  15.601   2.688  7.97   -72.5   148.6   3.4   0.8    13.1
10/16/19 21:05:32 12.37  0.454    345   0.22  15.598   2.682  7.96   -72.1   150.0   3.6   0.8    13.0
10/16/19 21:35:32 12.36  0.455    345   0.22  15.595   2.675  7.96   -72.0   151.1   3.5   0.8    13.1
10/16/19 22:05:32 12.37  0.454    345   0.22  15.591   2.664  7.97   -72.4   148.9   3.8   0.9    13.1
10/16/19 22:35:31 12.36  0.454    344   0.22  15.589   2.660  7.98   -73.4   138.5   4.8   1.1    13.0
10/16/19 23:05:32 12.36  0.454    344   0.22  15.580   2.639  7.97   -72.6   149.8   4.8   1.1    13.0
10/16/19 23:35:32 12.35  0.453    344   0.22  15.570   2.615  7.97   -72.5   147.6   3.4   0.8    13.1
10/17/19 00:05:32 12.32  0.451    342   0.22  15.563   2.599  7.97   -72.4   150.6   5.4   1.3    13.1
