======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/04/19 00:05:31 17.78  0.471    406   0.23  15.822   3.201  7.92   -71.1   132.9   5.3   1.3    13.3
10/04/19 00:35:31 17.77  0.471    406   0.23  15.826   3.211  7.91   -70.3   139.0   9.2   2.2    13.3
10/04/19 01:05:31 17.76  0.471    406   0.23  15.825   3.208  7.91   -70.3   138.9   6.5   1.5    13.3
10/04/19 01:35:31 17.75  0.471    406   0.23  15.830   3.220  7.92   -71.1   133.1   7.2   1.7    13.3
10/04/19 02:05:31 17.73  0.471    406   0.23  15.839   3.240  7.91   -70.3   137.6   5.2   1.2    13.3
10/04/19 02:35:31 17.72  0.471    406   0.23  15.838   3.239  7.92   -70.9   133.0   4.4   1.0    13.2
10/04/19 03:05:31 17.70  0.472    406   0.23  15.840   3.242  7.91   -70.6   133.1   5.5   1.3    13.2
10/04/19 03:35:31 17.70  0.472    406   0.23  15.838   3.238  7.89   -69.4   138.8   8.7   2.1    13.3
10/04/19 04:05:31 17.69  0.472    406   0.23  15.843   3.249  7.88   -68.8   139.0  11.1   2.6    13.3
10/04/19 04:35:31 17.68  0.472    406   0.23  15.842   3.247  7.88   -69.1   137.5   7.7   1.8    13.2
10/04/19 05:05:31 17.66  0.472    406   0.23  15.852   3.271  7.88   -68.8   139.0   7.1   1.7    13.3
10/04/19 05:35:31 17.63  0.472    405   0.23  15.862   3.293  7.88   -68.8   139.3   6.6   1.6    13.3
10/04/19 06:05:31 17.61  0.472    405   0.23  15.872   3.316  7.87   -68.5   139.0   6.7   1.6    13.3
10/04/19 06:35:31 17.59  0.471    405   0.23  15.880   3.334  7.88   -68.7   139.0   5.2   1.2    13.3
10/04/19 07:05:31 17.56  0.471    404   0.23  15.890   3.357  7.87   -68.5   139.0   5.7   1.3    13.3
10/04/19 07:35:31 17.51  0.472    404   0.23  15.901   3.382  7.87   -68.3   139.9   7.1   1.7    13.2
